Unnið 25/02/2015,Íbúðaverð í fjölbýli - ársmeðaltöl,,,,,
ár,fjöldi ,meðal-,meðal-,meðal-,meðal kaupv.,meðal staðgr.v.
,í úrtaki,flatarmál (m²),kaupverð (þús.kr.),staðgr.verð (þús.kr.),pr. ferm. (kr./m²),pr. ferm. (kr./m²)
"Lunda- og Gerðahverfi, Akureyri",,,,,,
,,,,,,
1990.0,49.0,75.0,4403.0,3961.0,59767.0,53671.0
1991.0,39.0,70.0,4628.0,4036.0,66553.0,58061.0
1992.0,40.0,71.0,4938.0,4364.0,71275.0,63094.0
1993.0,42.0,76.0,5333.0,4908.0,71543.0,65709.0
1994.0,43.0,86.0,5947.0,6037.0,72785.0,72921.0
1995.0,44.0,92.0,5889.0,5510.0,70242.0,65646.0
1996.0,45.0,73.0,5390.0,4994.0,74692.0,69426.0
1997.0,46.0,71.0,5195.0,4847.0,74096.0,69350.0
1998.0,47.0,78.0,5762.0,5583.0,75840.0,73669.0
1999.0,55.0,74.0,5832.0,5805.0,80575.0,80269.0
2000.0,55.0,72.0,6325.0,5970.0,88281.0,83364.0
2001.0,41.0,75.0,7001.0,6481.0,95822.0,88639.0
2002.0,38.0,83.0,8146.0,7541.0,99410.0,92012.0
2003.0,42.0,83.0,9074.0,8905.0,112683.0,110729.0
2004.0,83.0,87.0,10181.0,10079.0,117415.0,116385.0
2005.0,75.0,76.0,9479.0,9446.0,126084.0,125627.0
2006.0,42.0,85.0,14283.0,14129.0,174437.0,172353.0
2007.0,50.0,81.0,13657.0,13391.0,171977.0,168448.0
2008.0,26.0,81.0,15475.0,14953.0,194251.0,187935.0
2009.0,11.0,74.0,12599.0,12167.0,172169.0,166951.0
2010.0,7.0,84.0,13431.0,13164.0,162534.0,158475.0
2011.0,32.0,76.0,12245.0,12029.0,163166.0,160454.0
2012.0,35.0,83.0,15388.0,15022.0,190301.0,185719.0
2013.0,42.0,79.0,14902.0,14506.0,191019.0,186343.0
2014.0,38.0,80.0,15912.0,15604.0,200773.0,197102.0
,,,,,,
"Holta- og Hlíðarhverfi, Akureyri",,,,,,
,,,,,,
1994.0,36.0,98.0,5911.0,5647.0,64926.0,61982.0
1995.0,36.0,91.0,5680.0,5242.0,64434.0,59429.0
1996.0,46.0,96.0,5660.0,5281.0,63279.0,59025.0
1997.0,45.0,92.0,5790.0,5394.0,66766.0,62209.0
1998.0,44.0,90.0,5938.0,5748.0,67927.0,65772.0
1999.0,87.0,94.0,6189.0,6162.0,69207.0,68886.0
2000.0,56.0,91.0,6523.0,6155.0,75228.0,70762.0
2001.0,35.0,88.0,7582.0,7010.0,89050.0,82372.0
2002.0,45.0,93.0,7747.0,7210.0,87706.0,81636.0
2003.0,37.0,92.0,8625.0,8483.0,96507.0,94806.0
2004.0,49.0,93.0,8930.0,8885.0,99779.0,99318.0
2005.0,91.0,92.0,10931.0,10892.0,120893.0,120541.0
2006.0,39.0,89.0,13500.0,13352.0,154856.0,153475.0
2007.0,47.0,87.0,13467.0,13158.0,160016.0,156433.0
2008.0,20.0,95.0,15118.0,14552.0,164247.0,157941.0
2009.0,17.0,77.0,11555.0,11167.0,151711.0,147256.0
2010.0,19.0,93.0,15754.0,14754.0,168521.0,157759.0
2011.0,29.0,84.0,13341.0,12777.0,161206.0,154851.0
2012.0,32.0,94.0,16397.0,15284.0,176231.0,164098.0
2013.0,30.0,96.0,18074.0,17843.0,187288.0,184250.0
2014.0,43.0,91.0,17165.0,16849.0,190755.0,186822.0
,,,,,,
"Brekka og Innbær, Akureyri",,,,,,
,,,,,,
1990.0,31.0,111.0,4657.0,4145.0,43394.0,38539.0
1991.0,19.0,103.0,4618.0,4163.0,46709.0,42396.0
1992.0,18.0,117.0,5946.0,5260.0,50745.0,44797.0
1993.0,33.0,115.0,5686.0,5151.0,52300.0,47485.0
1994.0,50.0,106.0,4811.0,4616.0,48271.0,46475.0
1995.0,52.0,104.0,5398.0,5011.0,54293.0,50375.0
1996.0,90.0,107.0,6024.0,5638.0,59534.0,56032.0
1997.0,64.0,113.0,5843.0,5447.0,53273.0,49874.0
1998.0,65.0,107.0,6344.0,6220.0,64324.0,63274.0
1999.0,102.0,100.0,6476.0,6465.0,68665.0,68968.0
2000.0,105.0,104.0,7382.0,6972.0,75113.0,70953.0
2001.0,71.0,107.0,7734.0,7132.0,77015.0,71110.0
2002.0,80.0,104.0,8541.0,7891.0,85944.0,79462.0
2003.0,61.0,108.0,9322.0,9166.0,89511.0,88141.0
2004.0,75.0,105.0,9642.0,9578.0,96783.0,96472.0
2005.0,138.0,107.0,11318.0,11282.0,109674.0,109430.0
2006.0,83.0,95.0,13678.0,13455.0,161723.0,159580.0
2007.0,73.0,99.0,15040.0,14630.0,160098.0,155716.0
2008.0,35.0,109.0,17196.0,16445.0,162818.0,155324.0
2009.0,23.0,112.0,16287.0,15612.0,153505.0,147051.0
2010.0,30.0,102.0,14532.0,14079.0,149552.0,145344.0
2011.0,39.0,115.0,15460.0,14981.0,140153.0,135775.0
2012.0,37.0,99.0,15763.0,15200.0,163353.0,157818.0
2013.0,56.0,112.0,17678.0,17391.0,165905.0,162807.0
2014.0,63.0,107.0,17853.0,17593.0,176323.0,173485.0
,,,,,,
"Giljahverfi, Akureyri",,,,,,
,,,,,,
1998.0,8.0,100.0,6743.0,6612.0,70696.0,69374.0
1999.0,26.0,93.0,7991.0,7932.0,87372.0,86749.0
2000.0,19.0,153.0,14715.0,14312.0,91376.0,86615.0
2001.0,47.0,89.0,9113.0,8484.0,103571.0,96494.0
2002.0,35.0,94.0,9937.0,9243.0,107990.0,100532.0
2003.0,40.0,91.0,10632.0,10496.0,119421.0,117794.0
2004.0,41.0,94.0,11857.0,11831.0,128455.0,128246.0
2005.0,71.0,89.0,13800.0,13712.0,156152.0,155157.0
2006.0,38.0,86.0,16808.0,16699.0,196013.0,194815.0
2007.0,42.0,92.0,17325.0,16841.0,189790.0,184619.0
2008.0,14.0,103.0,18162.0,17138.0,180439.0,170183.0
2009.0,10.0,87.0,16178.0,15330.0,186557.0,176372.0
2010.0,27.0,86.0,16987.0,16085.0,198280.0,188364.0
2011.0,17.0,89.0,17598.0,16714.0,201346.0,191565.0
2012.0,29.0,94.0,20306.0,19342.0,217497.0,207540.0
2013.0,21.0,96.0,21075.0,19690.0,222915.0,206871.0
2014.0,37.0,91.0,20700.0,20264.0,231725.0,226395.0
,,,,,,
"Oddeyri, Akureyri",,,,,,
,,,,,,
1990.0,21.0,104.0,4180.0,3770.0,40733.0,36718.0
1991.0,5.0,111.0,5240.0,4357.0,47691.0,39861.0
1992.0,26.0,96.0,4445.0,3933.0,46307.0,41209.0
1993.0,21.0,107.0,5679.0,5187.0,54772.0,49908.0
1994.0,22.0,95.0,4845.0,4678.0,55464.0,53454.0
1995.0,33.0,92.0,4815.0,4524.0,54736.0,51454.0
1996.0,31.0,89.0,4960.0,4628.0,57203.0,53680.0
1997.0,28.0,109.0,6238.0,5854.0,59456.0,55787.0
1998.0,31.0,103.0,5872.0,5704.0,60464.0,58873.0
1999.0,50.0,98.0,6402.0,6379.0,68074.0,67838.0
2000.0,42.0,83.0,5954.0,5542.0,74131.0,69018.0
2001.0,19.0,88.0,6326.0,5860.0,76676.0,71214.0
2002.0,25.0,83.0,7522.0,6971.0,94661.0,87888.0
2003.0,18.0,92.0,8028.0,7892.0,89880.0,88493.0
2004.0,37.0,102.0,8703.0,8662.0,87547.0,87208.0
2005.0,45.0,104.0,10846.0,10804.0,110399.0,110004.0
2006.0,27.0,100.0,12781.0,12671.0,134762.0,133660.0
2007.0,22.0,82.0,11930.0,11552.0,150499.0,145833.0
2008.0,13.0,96.0,13559.0,12595.0,151831.0,142374.0
2009.0,4.0,91.0,9601.0,9144.0,105032.0,98998.0
2010.0,7.0,87.0,10593.0,10319.0,125285.0,121526.0
2011.0,17.0,104.0,14894.0,14300.0,147650.0,141223.0
2012.0,14.0,124.0,17671.0,17550.0,153939.0,153643.0
2013.0,24.0,116.0,16629.0,16279.0,145873.0,142814.0
2014.0,21.0,103.0,16060.0,15917.0,161681.0,159853.0
,,,,,,
"Síðuhverfi, Akureyri",,,,,,
,,,,,,
1993.0,14.0,75.0,6289.0,6114.0,84419.0,82331.0
1994.0,35.0,80.0,6260.0,6047.0,80816.0,78098.0
1995.0,18.0,75.0,5616.0,5206.0,75439.0,69848.0
1996.0,39.0,77.0,5491.0,5055.0,72966.0,67139.0
1997.0,29.0,80.0,5546.0,5126.0,71387.0,66243.0
1998.0,26.0,79.0,5786.0,5675.0,75151.0,73602.0
1999.0,43.0,71.0,5468.0,5431.0,78376.0,77950.0
2000.0,36.0,83.0,6831.0,6355.0,82498.0,76762.0
2001.0,31.0,75.0,6922.0,6317.0,94714.0,86412.0
2002.0,37.0,88.0,8222.0,7592.0,95055.0,87707.0
2003.0,31.0,83.0,8540.0,8393.0,106936.0,105170.0
2004.0,50.0,83.0,9406.0,9395.0,113846.0,113637.0
2005.0,85.0,81.0,10120.0,10094.0,126967.0,126637.0
2006.0,31.0,83.0,13615.0,13398.0,165826.0,163138.0
2007.0,47.0,76.0,12761.0,12277.0,169543.0,163195.0
2008.0,14.0,75.0,12671.0,11801.0,170073.0,157834.0
2009.0,15.0,79.0,13090.0,12544.0,167449.0,160523.0
2010.0,15.0,73.0,12049.0,11424.0,166749.0,157869.0
2011.0,17.0,75.0,12609.0,12299.0,172224.0,167218.0
2012.0,18.0,76.0,12698.0,12277.0,170038.0,164184.0
2013.0,48.0,81.0,14221.0,13627.0,179307.0,171761.0
2014.0,45.0,81.0,14791.0,14366.0,189285.0,183849.0
,,,,,,
"Naustahverfi, Akureyri",,,,,,
,,,,,,
2000.0,8.0,100.0,9175.0,8834.0,92491.0,88598.0
2002.0,12.0,113.0,13297.0,12553.0,117553.0,110971.0
2003.0,15.0,132.0,14903.0,14438.0,113555.0,110028.0
2004.0,20.0,109.0,13779.0,13556.0,127448.0,125258.0
2005.0,37.0,105.0,16079.0,15768.0,152449.0,149563.0
2006.0,31.0,200.0,31465.0,31177.0,183818.0,180816.0
2007.0,45.0,99.0,19896.0,19318.0,200532.0,194979.0
2008.0,17.0,105.0,21960.0,21256.0,209769.0,203139.0
2009.0,10.0,105.0,22913.0,22565.0,220705.0,217488.0
2010.0,19.0,99.0,20147.0,19802.0,203744.0,200496.0
2011.0,19.0,101.0,22508.0,22045.0,223713.0,218314.0
2012.0,41.0,94.0,22795.0,22368.0,242092.0,237911.0
2013.0,42.0,99.0,25808.0,25178.0,259514.0,253442.0
2014.0,65.0,100.0,26356.0,25991.0,263143.0,259547.0
