Unnið 25/02/2015,Íbúðaverð í sérbýli - ársmeðaltöl,,,,,
ár,fjöldi ,meðal-,meðal-,meðal-,meðal kaupv.,meðal staðgr.v.
,í úrtaki,flatarmál (m²),kaupverð (þús.kr.),staðgr.verð (þús.kr.),pr. ferm. (kr./m²),pr. ferm. (kr./m²)
"Lunda- og Gerðahverfi, Akureyri",,,,,,
,,,,,,
1990.0,31.0,156.0,8198.0,7408.0,53935.0,48648.0
1991.0,23.0,159.0,9022.0,7947.0,57894.0,50848.0
1992.0,21.0,164.0,10499.0,9666.0,64625.0,59394.0
1993.0,24.0,149.0,8857.0,8274.0,61658.0,57565.0
1994.0,35.0,175.0,10268.0,9826.0,61204.0,58616.0
1995.0,35.0,162.0,10066.0,9408.0,63995.0,59575.0
1996.0,36.0,156.0,9446.0,8690.0,62236.0,57167.0
1997.0,39.0,152.0,9487.0,8851.0,63411.0,59146.0
1998.0,48.0,169.0,10835.0,10483.0,65132.0,63012.0
1999.0,49.0,164.0,11115.0,10991.0,69851.0,69163.0
2000.0,45.0,169.0,12044.0,11415.0,73588.0,69462.0
2001.0,44.0,162.0,12807.0,11908.0,82717.0,76983.0
2002.0,44.0,167.0,14501.0,13551.0,90305.0,84447.0
2003.0,59.0,153.0,14842.0,14488.0,101055.0,98713.0
2004.0,56.0,165.0,16268.0,16046.0,101375.0,100126.0
2005.0,53.0,166.0,19424.0,19209.0,119117.0,117951.0
2006.0,36.0,164.0,24952.0,24454.0,160255.0,157363.0
2007.0,55.0,154.0,26055.0,25315.0,170422.0,165468.0
2008.0,25.0,157.0,28088.0,27311.0,182828.0,177816.0
2009.0,9.0,155.0,28233.0,26821.0,182542.0,174555.0
2010.0,29.0,167.0,27304.0,26389.0,165951.0,160397.0
2011.0,24.0,156.0,27533.0,26703.0,181993.0,176958.0
2012.0,32.0,147.0,27819.0,27188.0,190981.0,186756.0
2013.0,39.0,158.0,31359.0,30608.0,201325.0,196395.0
2014.0,29.0,176.0,36952.0,36286.0,213705.0,210361.0
,,,,,,
"Holta- og Hlíðarhverfi, Akureyri",,,,,,
,,,,,,
1990.0,14.0,151.0,6891.0,6237.0,48408.0,43755.0
1991.0,23.0,141.0,7910.0,6898.0,58326.0,51007.0
1992.0,17.0,147.0,8471.0,7476.0,59767.0,52720.0
1993.0,18.0,155.0,8761.0,8084.0,59548.0,54917.0
1994.0,19.0,158.0,8937.0,8518.0,60131.0,57260.0
1995.0,21.0,151.0,8986.0,8350.0,63999.0,59633.0
1996.0,24.0,180.0,9799.0,9009.0,56744.0,52349.0
1997.0,31.0,149.0,9289.0,8644.0,68426.0,63794.0
1998.0,28.0,148.0,8465.0,8142.0,62083.0,59712.0
1999.0,51.0,160.0,9756.0,9663.0,64606.0,64253.0
2000.0,26.0,159.0,10582.0,10041.0,70405.0,66607.0
2001.0,25.0,136.0,10538.0,9794.0,81532.0,75653.0
2002.0,25.0,167.0,12450.0,11566.0,82141.0,76090.0
2003.0,37.0,164.0,12920.0,12650.0,83668.0,81966.0
2004.0,36.0,156.0,14086.0,13963.0,94489.0,93721.0
2005.0,36.0,159.0,17966.0,17886.0,119663.0,119213.0
2006.0,16.0,121.0,21075.0,20363.0,177119.0,171347.0
2007.0,28.0,137.0,21720.0,21271.0,163831.0,160489.0
2008.0,7.0,172.0,26486.0,25918.0,158304.0,155056.0
2009.0,9.0,169.0,27523.0,26249.0,169009.0,160928.0
2010.0,12.0,137.0,21186.0,20640.0,155551.0,151486.0
2011.0,10.0,182.0,29760.0,29561.0,166892.0,166018.0
2012.0,17.0,165.0,28583.0,28093.0,174440.0,171697.0
2013.0,26.0,155.0,25909.0,25387.0,170792.0,167909.0
2014.0,27.0,169.0,28890.0,28156.0,179111.0,174681.0
,,,,,,
"Brekka og Innbær, Akureyri",,,,,,
,,,,,,
1990.0,13.0,182.0,6333.0,5750.0,34914.0,31899.0
1991.0,7.0,205.0,9414.0,8315.0,45903.0,40389.0
1992.0,14.0,197.0,9637.0,8824.0,49091.0,44997.0
1993.0,14.0,187.0,8814.0,8203.0,46275.0,43228.0
1994.0,25.0,186.0,9002.0,8549.0,49644.0,47068.0
1995.0,28.0,181.0,9155.0,8393.0,51791.0,47575.0
1996.0,29.0,149.0,8149.0,7551.0,55383.0,51342.0
1997.0,27.0,174.0,9659.0,8911.0,55323.0,51097.0
1998.0,43.0,178.0,9302.0,9025.0,53610.0,52048.0
1999.0,47.0,174.0,9827.0,9768.0,57651.0,57254.0
2000.0,37.0,174.0,11055.0,10429.0,65203.0,61230.0
2001.0,41.0,188.0,12075.0,11182.0,64477.0,59521.0
2002.0,38.0,170.0,12619.0,11660.0,75539.0,69740.0
2003.0,41.0,160.0,11971.0,11691.0,76841.0,75188.0
2004.0,44.0,182.0,15370.0,15220.0,86168.0,85384.0
2005.0,59.0,170.0,18337.0,18197.0,111794.0,111070.0
2006.0,29.0,154.0,20589.0,20259.0,133705.0,131383.0
2007.0,42.0,176.0,25509.0,24608.0,146990.0,141652.0
2008.0,15.0,183.0,31116.0,29402.0,171126.0,161924.0
2009.0,23.0,174.0,23639.0,22816.0,138179.0,133181.0
2010.0,10.0,190.0,26660.0,26039.0,149549.0,145014.0
2011.0,19.0,173.0,27067.0,26591.0,158690.0,156107.0
2012.0,26.0,189.0,31055.0,30521.0,165690.0,163030.0
2013.0,32.0,189.0,32033.0,31484.0,170158.0,167252.0
2014.0,30.0,185.0,33583.0,33075.0,181739.0,179124.0
,,,,,,
"Giljahverfi, Akureyri",,,,,,
,,,,,,
1993.0,8.0,171.0,9871.0,9641.0,57818.0,56543.0
1994.0,3.0,175.0,11700.0,11419.0,67472.0,65907.0
1995.0,5.0,160.0,9320.0,8580.0,64068.0,59018.0
1996.0,8.0,130.0,10053.0,9639.0,77983.0,74593.0
1997.0,12.0,145.0,9476.0,8925.0,69055.0,65053.0
1998.0,10.0,146.0,10251.0,10161.0,74037.0,73446.0
1999.0,19.0,132.0,10368.0,10291.0,80411.0,79875.0
2000.0,20.0,145.0,11371.0,10758.0,80845.0,76207.0
2001.0,14.0,129.0,12137.0,11330.0,96821.0,90291.0
2002.0,26.0,113.0,12437.0,11668.0,111924.0,104953.0
2003.0,22.0,123.0,13233.0,13091.0,109605.0,108242.0
2004.0,25.0,126.0,15784.0,15659.0,128183.0,127339.0
2005.0,33.0,131.0,20123.0,19964.0,156769.0,155661.0
2006.0,24.0,112.0,22117.0,21834.0,198200.0,195767.0
2007.0,24.0,129.0,25369.0,24819.0,201276.0,197872.0
2008.0,9.0,115.0,24728.0,23933.0,220337.0,212972.0
2009.0,11.0,131.0,27139.0,25256.0,208779.0,194637.0
2010.0,5.0,145.0,28980.0,28532.0,203813.0,201029.0
2011.0,16.0,122.0,26588.0,25571.0,219900.0,211406.0
2012.0,11.0,124.0,27264.0,26483.0,221588.0,214871.0
2013.0,19.0,149.0,34539.0,33848.0,233663.0,229302.0
2014.0,17.0,135.0,32382.0,31714.0,243871.0,239467.0
,,,,,,
"Oddeyri, Akureyri",,,,,,
,,,,,,
1992.0,7.0,111.0,5264.0,4605.0,48922.0,42386.0
1993.0,9.0,124.0,6155.0,5896.0,53740.0,51121.0
1994.0,9.0,140.0,7306.0,6937.0,52646.0,49905.0
1995.0,9.0,127.0,6084.0,5628.0,50437.0,46602.0
1996.0,8.0,136.0,8456.0,7691.0,66861.0,61243.0
1997.0,16.0,129.0,6234.0,5784.0,50354.0,46816.0
1998.0,7.0,111.0,5407.0,5395.0,52185.0,51971.0
1999.0,13.0,116.0,7558.0,7563.0,66371.0,66551.0
2000.0,4.0,103.0,5713.0,5336.0,61178.0,57560.0
2001.0,16.0,144.0,9504.0,8724.0,70482.0,64728.0
2002.0,6.0,161.0,10583.0,9789.0,72684.0,67384.0
2003.0,18.0,129.0,10742.0,10626.0,86616.0,85764.0
2004.0,8.0,118.0,10125.0,10085.0,88172.0,87860.0
2005.0,19.0,125.0,13571.0,13500.0,114939.0,114358.0
2006.0,14.0,115.0,13930.0,13813.0,124136.0,123346.0
2007.0,11.0,144.0,21673.0,20896.0,150462.0,145417.0
2008.0,3.0,121.0,17850.0,16499.0,143770.0,132634.0
2009.0,,,,,,
2010.0,4.0,146.0,17277.0,16614.0,143483.0,136465.0
2011.0,10.0,113.0,19267.0,18818.0,175604.0,171644.0
2012.0,9.0,132.0,23104.0,22712.0,174603.0,171819.0
2013.0,9.0,129.0,21161.0,20768.0,192711.0,189504.0
2014.0,10.0,128.0,22675.0,22510.0,179977.0,178679.0
,,,,,,
"Síðuhverfi, Akureyri",,,,,,
,,,,,,
1990.0,13.0,136.0,8181.0,7381.0,62247.0,56175.0
1991.0,12.0,131.0,8401.0,7304.0,67999.0,58892.0
1992.0,11.0,114.0,8696.0,7675.0,77434.0,68566.0
1993.0,13.0,159.0,9688.0,8750.0,65912.0,59600.0
1994.0,9.0,182.0,10033.0,9399.0,60634.0,56620.0
1995.0,34.0,154.0,10377.0,9619.0,70122.0,64888.0
1996.0,36.0,144.0,9495.0,8689.0,68152.0,62431.0
1997.0,32.0,159.0,10373.0,9651.0,67608.0,62945.0
1998.0,33.0,164.0,10581.0,10139.0,67231.0,64500.0
1999.0,56.0,147.0,10250.0,10119.0,71446.0,70573.0
2000.0,46.0,156.0,11288.0,10625.0,75148.0,70795.0
2001.0,36.0,156.0,12146.0,11275.0,81166.0,75340.0
2002.0,32.0,156.0,13714.0,12767.0,91002.0,84784.0
2003.0,39.0,168.0,14701.0,14419.0,89012.0,87260.0
2004.0,44.0,172.0,15903.0,15743.0,98041.0,97079.0
2005.0,34.0,150.0,20182.0,20045.0,135855.0,135051.0
2006.0,18.0,161.0,26319.0,25802.0,166186.0,163216.0
2007.0,35.0,144.0,24566.0,23788.0,171966.0,166592.0
2008.0,15.0,149.0,25980.0,24648.0,176695.0,168297.0
2009.0,15.0,170.0,26917.0,25380.0,161474.0,151919.0
2010.0,19.0,168.0,28528.0,27370.0,171684.0,164251.0
2011.0,28.0,166.0,28369.0,27755.0,172602.0,168603.0
2012.0,16.0,165.0,31859.0,31120.0,201859.0,197084.0
2013.0,21.0,153.0,29095.0,28718.0,195024.0,192334.0
2014.0,33.0,169.0,32558.0,32017.0,198000.0,194832.0
,,,,,,
"Naustahverfi, Akureyri",,,,,,
,,,,,,
2000.0,15.0,144.0,14036.0,13301.0,97231.0,92145.0
2001.0,7.0,158.0,15990.0,15465.0,101720.0,98623.0
2002.0,,,,,,
2003.0,,,,,,
2004.0,14.0,135.0,16021.0,16047.0,120950.0,120809.0
2005.0,13.0,137.0,21126.0,20505.0,161800.0,157203.0
2006.0,8.0,135.0,25263.0,24779.0,186543.0,183057.0
2007.0,19.0,152.0,28193.0,27542.0,189199.0,185050.0
2008.0,8.0,160.0,31735.0,30424.0,199813.0,190439.0
2009.0,,,,,,
2010.0,8.0,173.0,35998.0,34396.0,204859.0,196175.0
2011.0,10.0,138.0,30660.0,29615.0,224096.0,216133.0
2012.0,12.0,141.0,33102.0,32528.0,234415.0,230494.0
2013.0,26.0,166.0,37927.0,37042.0,238133.0,232766.0
2014.0,23.0,149.0,39230.0,38488.0,264275.0,259314.0
