Úrvinnslan byggist á 7.297 samningum sem þinglýst var á tímabilinu 30.júní 2013 til og með 31.júlí 2014 og fasteignamati 2015.,,,,
,,,,
"Leigusali, einstaklingur",,,,
Svæði,Fjöldi herbergja ,Fjöldi samninga,Meðalstærð,Ávöxtun
"Reykjavík, vestan Kringlumýrarbrautar og Seltjarnarnes",1.0,35.0,41.1685714285714,0.0794972013878331
"Reykjavík, vestan Kringlumýrarbrautar og Seltjarnarnes",2.0,510.0,55.5327450980392,0.078832667354873
"Reykjavík, vestan Kringlumýrarbrautar og Seltjarnarnes",3.0,418.0,76.0227272727273,0.074075288369879
"Reykjavík, vestan Kringlumýrarbrautar og Seltjarnarnes",4-5,150.0,98.6326666666667,0.0677014010029105
Reykjavík milli Kringlumýrarbrautar og Reykjanesbrautar,1.0,13.0,37.0615384615385,0.0866375059961191
Reykjavík milli Kringlumýrarbrautar og Reykjanesbrautar,2.0,190.0,58.9784210526316,0.0778895679059407
Reykjavík milli Kringlumýrarbrautar og Reykjanesbrautar,3.0,198.0,83.2454545454546,0.0746734017557831
Reykjavík milli Kringlumýrarbrautar og Reykjanesbrautar,4-5,89.0,104.747191011236,0.0721158193760991
Kópavogur,2.0,99.0,62.0525252525253,0.0834205917776388
Kópavogur,3.0,141.0,88.5950354609929,0.0751443480502242
Kópavogur,4-5,65.0,119.018461538462,0.0720758861784261
"Garðabær, Hafnarfjörður og Álftanes",1.0,6.0,46.35,0.077203768856599
"Garðabær, Hafnarfjörður og Álftanes",2.0,121.0,66.3933884297521,0.0855588568219571
"Garðabær, Hafnarfjörður og Álftanes",3.0,213.0,89.7856807511737,0.0781705561137183
"Garðabær, Hafnarfjörður og Álftanes",4-5,130.0,121.012307692308,0.0702975978836996
"Grafarvogur, Grafarholt, Árbær, Norðlingaholt og Úlfarsárdalur ",2.0,104.0,65.0509615384615,0.0863704270505047
"Grafarvogur, Grafarholt, Árbær, Norðlingaholt og Úlfarsárdalur ",3.0,153.0,93.3738562091503,0.07760611245641
"Grafarvogur, Grafarholt, Árbær, Norðlingaholt og Úlfarsárdalur ",4-5,106.0,116.541509433962,0.0729769659209183
Breiðholt,1.0,12.0,41.6666666666667,0.0991156160809697
Breiðholt,2.0,118.0,63.2483050847458,0.0935777662292236
Breiðholt,3.0,109.0,84.0422018348624,0.0872092077943068
Breiðholt,4-5,86.0,109.4,0.0842955013479577
Kjalarnes og Mosfellsbær,2.0,11.0,63.9090909090909,0.0802506063023735
Kjalarnes og Mosfellsbær,3.0,20.0,90.015,0.0722347842433506
Kjalarnes og Mosfellsbær,4-5,32.0,137.75,0.0653921878646699
Suðurnes nema Reykjanesbær,2.0,7.0,59.5285714285714,0.0951032436779763
Suðurnes nema Reykjanesbær,3.0,23.0,97.204347826087,0.0828573289861098
Suðurnes nema Reykjanesbær,4-5,32.0,136.90625,0.0843216525522604
Reykjanesbær,2.0,49.0,65.1836734693878,0.101850493725278
Reykjanesbær,3.0,99.0,84.320202020202,0.0917031578519884
Reykjanesbær,4-5,59.0,131.472881355932,0.0775781274776039
Vesturland nema Akranes,2.0,5.0,56.68,0.105699220235997
Vesturland nema Akranes,3.0,20.0,93.89,0.0794351380525966
Vesturland nema Akranes,4-5,18.0,134.261111111111,0.0750283530982512
Akranes,2.0,19.0,74.0157894736842,0.0874424784243932
Akranes,3.0,62.0,89.2193548387097,0.0866070648268932
Akranes,4-5,20.0,130.43,0.0857642926567057
Vestfirðir,2.0,6.0,77.7666666666667,0.0964210893027794
Vestfirðir,3.0,15.0,87.0733333333333,0.155977284343734
Vestfirðir,4-5,19.0,129.005263157895,0.106516955392769
Norðurland nema Akureyri,2.0,15.0,59.4533333333333,0.129620303714065
Norðurland nema Akureyri,3.0,32.0,89.928125,0.104806685109382
Norðurland nema Akureyri,4-5,45.0,138.104444444444,0.0904553058717672
Akureyri,2.0,99.0,61.3424242424242,0.0934678481514426
Akureyri,3.0,139.0,81.6035971223022,0.0898777582585085
Akureyri,4-5,100.0,109.317,0.0831436650569581
Austurland,2.0,10.0,66.55,0.10239277977309
Austurland,3.0,16.0,90.51875,0.106169982948907
Austurland,4-5,27.0,117.340740740741,0.103229930414647
Suðurland nema Selfoss og Vestmanneyjar,2.0,17.0,73.4294117647059,0.0937013746452814
Suðurland nema Selfoss og Vestmanneyjar,3.0,36.0,109.272222222222,0.0820241836134693
Suðurland nema Selfoss og Vestmanneyjar,4-5,52.0,145.976923076923,0.0701176964353284
Selfoss,2.0,31.0,67.0096774193548,0.0872082248544229
Selfoss,3.0,35.0,91.7371428571429,0.0797771228835617
Selfoss,4-5,33.0,132.051515151515,0.076456654925333
Vestmannaeyjar,3.0,11.0,83.0272727272727,0.103759866982682
Vestmannaeyjar,4-5,5.0,117.18,0.0754077701771637
,,,,
,,,,
"Leigusali, fyrirtæki (ekki fjármálastofnanir)",,,,
Svæði,Fjöldi herbergja ,Fjöldi samninga,Meðalstærð,Ávöxtun
"Reykjavík, vestan Kringlumýrarbrautar og Seltjarnarnes",1.0,86.0,38.0244186046512,0.0595581286220666
"Reykjavík, vestan Kringlumýrarbrautar og Seltjarnarnes",2.0,164.0,58.4085365853659,0.0780882699580704
"Reykjavík, vestan Kringlumýrarbrautar og Seltjarnarnes",3.0,121.0,74.9652892561983,0.0783672066220499
"Reykjavík, vestan Kringlumýrarbrautar og Seltjarnarnes",4-5,48.0,100.591666666667,0.0720483852111631
Reykjavík milli Kringlumýrarbrautar og Reykjanesbrautar,1.0,5.0,34.36,0.08232303293216
Reykjavík milli Kringlumýrarbrautar og Reykjanesbrautar,2.0,44.0,57.6659090909091,0.0837773507531943
Reykjavík milli Kringlumýrarbrautar og Reykjanesbrautar,3.0,41.0,80.190243902439,0.0724504779228934
Reykjavík milli Kringlumýrarbrautar og Reykjanesbrautar,4-5,20.0,109.215,0.0856176659629806
Kópavogur,2.0,31.0,69.0,0.0803011343355093
Kópavogur,3.0,39.0,95.9205128205128,0.0767498419863115
Kópavogur,4-5,33.0,125.451515151515,0.0683126889390225
"Garðabær, Hafnarfjörður og Álftanes",1.0,26.0,40.95,0.0789491496441904
"Garðabær, Hafnarfjörður og Álftanes",2.0,40.0,66.79,0.085707232710858
"Garðabær, Hafnarfjörður og Álftanes",3.0,82.0,89.0170731707317,0.0771528345930456
"Garðabær, Hafnarfjörður og Álftanes",4-5,52.0,122.467307692308,0.0722961518334014
"Grafarvogur, Grafarholt, Árbær, Norðlingaholt og Úlfarsárdalur ",1.0,17.0,39.8235294117647,0.0723806304617752
"Grafarvogur, Grafarholt, Árbær, Norðlingaholt og Úlfarsárdalur ",2.0,80.0,57.06125,0.0751600045919246
"Grafarvogur, Grafarholt, Árbær, Norðlingaholt og Úlfarsárdalur ",3.0,108.0,84.9861111111111,0.0760218425327859
"Grafarvogur, Grafarholt, Árbær, Norðlingaholt og Úlfarsárdalur ",4-5,26.0,120.188461538462,0.0768909035552763
Breiðholt,2.0,19.0,58.9842105263158,0.100396309553584
Breiðholt,3.0,22.0,89.1181818181818,0.096344157140465
Breiðholt,4-5,15.0,104.286666666667,0.0929566189521533
Kjalarnes og Mosfellsbær,2.0,8.0,63.9,0.0911641217220856
Kjalarnes og Mosfellsbær,3.0,15.0,80.0333333333333,0.0808841838613341
Kjalarnes og Mosfellsbær,4-5,8.0,116.75,0.0737063638271536
Suðurnes nema Reykjanesbær,3.0,8.0,104.05,0.0944982829078941
Suðurnes nema Reykjanesbær,4-5,5.0,153.72,0.0814245570045148
Reykjanesbær,2.0,51.0,66.821568627451,0.123312062176187
Reykjanesbær,3.0,135.0,106.311851851852,0.0841142728827399
Reykjanesbær,4-5,83.0,145.943373493976,0.0830972559660775
Vesturland nema Akranes,2.0,13.0,56.3230769230769,0.0809530889137177
Vesturland nema Akranes,3.0,26.0,75.1076923076923,0.0743107682872831
Vesturland nema Akranes,4-5,17.0,124.635294117647,0.0722029603324194
Akranes,2.0,25.0,68.088,0.0792925481783539
Akranes,3.0,29.0,94.448275862069,0.0783321768543951
Akranes,4-5,18.0,110.511111111111,0.0769756446449564
Vestfirðir,3.0,15.0,87.4066666666667,0.151860095631941
Vestfirðir,4-5,7.0,114.771428571429,0.119297207001763
Norðurland nema Akureyri,2.0,9.0,53.1777777777778,0.119321589334907
Norðurland nema Akureyri,3.0,16.0,81.15,0.128817864302455
Norðurland nema Akureyri,4-5,9.0,109.166666666667,0.0971946706047361
Akureyri,2.0,45.0,62.5377777777778,0.0745961795344688
Akureyri,3.0,75.0,75.8186666666667,0.0816256686865864
Akureyri,4-5,27.0,111.159259259259,0.0779407221162833
Austurland,2.0,9.0,71.6333333333333,0.134391742418981
Austurland,3.0,9.0,95.0444444444445,0.0825135882982008
Austurland,4-5,7.0,107.742857142857,0.0960312371774291
Suðurland nema Selfoss og Vestmanneyjar,2.0,10.0,67.9,0.094011026593254
Suðurland nema Selfoss og Vestmanneyjar,3.0,15.0,91.5666666666667,0.0917944436468799
Suðurland nema Selfoss og Vestmanneyjar,4-5,13.0,136.692307692308,0.0806046830902488
Selfoss,2.0,9.0,72.6222222222222,0.0804162885868531
Selfoss,3.0,20.0,89.105,0.07520462915354
Selfoss,4-5,12.0,117.291666666667,0.0765865270368909
Vestmannaeyjar,3.0,5.0,84.56,0.0887086162193345
,,,,
"Leigusali, fjármálastofnanir",,,,
Svæði,Fjöldi herbergja ,Fjöldi samninga,Meðalstærð,Ávöxtun
"Reykjavík, vestan Kringlumýrarbrautar og Seltjarnarnes",,41.0,61.1682926829268,0.0706086486442221
"Reykjavík, vestan Kringlumýrarbrautar og Seltjarnarnes",3.0,16.0,77.9875,0.0639624326221769
"Reykjavík, vestan Kringlumýrarbrautar og Seltjarnarnes",4-5,5.0,92.92,0.0616738148502239
Reykjavík milli Kringlumýrarbrautar og Reykjanesbrautar,3.0,9.0,89.5666666666667,0.0635533592131231
Kópavogur,1.0,7.0,40.5285714285714,0.0787562395620245
Kópavogur,2.0,17.0,55.2882352941176,0.0754971139199731
Kópavogur,3.0,21.0,101.37619047619,0.0673730624118078
Kópavogur,4-5,13.0,118.892307692308,0.0626706596776962
"Garðabær, Hafnarfjörður og Álftanes",2.0,13.0,75.8538461538461,0.0707603739725553
"Garðabær, Hafnarfjörður og Álftanes",3.0,65.0,91.7707692307692,0.0710993178842151
"Garðabær, Hafnarfjörður og Álftanes",4-5,43.0,123.902325581395,0.0664720589827798
"Grafarvogur, Grafarholt, Árbær, Norðlingaholt og Úlfarsárdalur ",2.0,8.0,81.7375,0.0747444995783374
"Grafarvogur, Grafarholt, Árbær, Norðlingaholt og Úlfarsárdalur ",3.0,15.0,95.3066666666667,0.0707026701092765
"Grafarvogur, Grafarholt, Árbær, Norðlingaholt og Úlfarsárdalur ",4-5,19.0,124.357894736842,0.0597043971803357
Breiðholt,2.0,21.0,65.2571428571429,0.0775080908865326
Breiðholt,3.0,20.0,82.63,0.0805945437938871
Breiðholt,4-5,15.0,105.286666666667,0.0756420306498486
Kjalarnes og Mosfellsbær,4-5,7.0,107.5,0.0618614259722103
Suðurnes nema Reykjanesbær,2.0,8.0,61.3625,0.0752073763738745
Suðurnes nema Reykjanesbær,3.0,25.0,96.164,0.0829863406735705
Suðurnes nema Reykjanesbær,4-5,62.0,145.883870967742,0.074579927595658
Reykjanesbær,2.0,63.0,58.7592063492064,0.0854770340169017
Reykjanesbær,3.0,109.0,81.7165137614679,0.0850316890080937
Reykjanesbær,4-5,112.0,127.328571428571,0.0772362503738833
Vesturland nema Akranes,2.0,22.0,72.4545454545455,0.076509232897565
Vesturland nema Akranes,4-5,46.0,141.65,0.0706735166268538
Akranes,2.0,6.0,66.8833333333333,0.0914569727073424
Akranes,3.0,10.0,104.6,0.0695897687144776
Akranes,4-5,14.0,130.7,0.0677915320125578
Vestfirðir,3.0,7.0,85.9857142857143,0.120688458132727
Vestfirðir,4-5,7.0,141.614285714286,0.0885146193871214
Norðurland nema Akureyri,4-5,14.0,135.35,0.0795560904028803
Akureyri,2.0,12.0,63.0166666666667,0.0896399631266247
Akureyri,3.0,26.0,90.6884615384615,0.0706692939714016
Akureyri,4-5,27.0,120.944444444444,0.0670264190377359
Austurland,2.0,22.0,70.9818181818182,0.0923414163032735
Austurland,3.0,28.0,86.2785714285714,0.0940657501989826
Austurland,4-5,32.0,116.171875,0.0860910860520394
Suðurland nema Selfoss og Vestmanneyjar,2.0,25.0,69.316,0.0763811629186734
Suðurland nema Selfoss og Vestmanneyjar,3.0,12.0,127.375,0.0710142640571172
Suðurland nema Selfoss og Vestmanneyjar,4-5,46.0,142.860869565217,0.0709842174189817
Selfoss,2.0,15.0,74.3533333333333,0.0724800092691382
Selfoss,3.0,15.0,112.033333333333,0.067491425927473
Selfoss,4-5,20.0,134.55,0.0612828253645419
