Verð sérbýlis á höfuðborgarsvæðinu.  Frá janúar árið 1981 til og með desember 2014. Upplýsingar um gögnin er að finna fyrir neðan.,,,,,,,
Ár ,Mánuður,Fjöldi mengis,Meðaltals flatarmál mengis (m2),Meðaltals kaupverð sérbýlis í þúsundum króna,Meðaltals staðgreiðsluverð sérbýlis í þúsundum króna,Kaupverð sérbýlis á fermeter (krónur),Staðgreiðsluverð sérbýlis á fermeter (krónur)
2014.0,12.0,74.0,208.0,59226.0,58027.0,290755.0,285045.0
2014.0,11.0,90.0,202.0,52732.0,51428.0,272246.0,265831.0
2014.0,10.0,98.0,210.0,52775.0,52035.0,256218.0,252709.0
2014.0,9.0,76.0,196.0,50547.0,49765.0,262338.0,258454.0
2014.0,8.0,76.0,210.0,50436.0,49795.0,247895.0,244772.0
2014.0,7.0,95.0,195.0,49426.0,48694.0,257373.0,253425.0
2014.0,6.0,88.0,202.0,50712.0,49873.0,258083.0,254022.0
2014.0,5.0,99.0,199.0,48437.0,47801.0,254956.0,251426.0
2014.0,4.0,77.0,207.0,52101.0,51503.0,255976.0,253160.0
2014.0,3.0,92.0,199.0,50366.0,49338.0,261363.0,256084.0
2014.0,2.0,72.0,198.0,50371.0,49276.0,257204.0,251388.0
2014.0,1.0,53.0,206.0,50954.0,49828.0,254994.0,249342.0
2013.0,12.0,81.0,194.0,47105.0,46116.0,249938.0,244772.0
2013.0,11.0,60.0,186.0,44910.0,44104.0,248793.0,244887.0
2013.0,10.0,72.0,210.0,50467.0,49556.0,250646.0,246414.0
2013.0,9.0,77.0,212.0,49621.0,48678.0,245081.0,240786.0
2013.0,8.0,57.0,195.0,47161.0,46354.0,247368.0,243222.0
2013.0,7.0,94.0,199.0,47017.0,46228.0,246540.0,242112.0
2013.0,6.0,82.0,193.0,49028.0,48294.0,255831.0,252295.0
2013.0,5.0,80.0,198.0,48073.0,47022.0,246852.0,241085.0
2013.0,4.0,68.0,195.0,46751.0,45638.0,241100.0,235616.0
2013.0,3.0,75.0,233.0,52265.0,50989.0,237093.0,231412.0
2013.0,2.0,74.0,207.0,47362.0,45938.0,233809.0,226685.0
2013.0,1.0,59.0,208.0,47629.0,46927.0,233680.0,230448.0
2012.0,12.0,64.0,213.0,47915.0,46509.0,229404.0,222752.0
2012.0,11.0,84.0,197.0,45996.0,44886.0,239160.0,233489.0
2012.0,10.0,87.0,183.0,44454.0,43661.0,245846.0,241792.0
2012.0,9.0,55.0,204.0,47595.0,46713.0,235495.0,230959.0
2012.0,8.0,63.0,197.0,46487.0,45565.0,237142.0,232740.0
2012.0,7.0,61.0,200.0,46284.0,45226.0,234294.0,228816.0
2012.0,6.0,77.0,206.0,50781.0,49602.0,252782.0,246767.0
2012.0,5.0,74.0,204.0,46699.0,45625.0,231804.0,226482.0
2012.0,4.0,63.0,193.0,45410.0,44291.0,234840.0,228726.0
2012.0,3.0,58.0,205.0,48989.0,46998.0,243636.0,234207.0
2012.0,2.0,61.0,204.0,45399.0,44332.0,227366.0,222010.0
2012.0,1.0,44.0,242.0,49017.0,47694.0,224553.0,218301.0
2011.0,12.0,45.0,191.0,45084.0,43743.0,241724.0,234698.0
2011.0,11.0,73.0,209.0,49379.0,48486.0,235954.0,231934.0
2011.0,10.0,65.0,202.0,45788.0,44564.0,235793.0,229600.0
2011.0,9.0,62.0,206.0,44602.0,43438.0,223377.0,217905.0
2011.0,8.0,70.0,189.0,44145.0,43508.0,236965.0,233585.0
2011.0,7.0,64.0,193.0,43480.0,42331.0,229915.0,224020.0
2011.0,6.0,52.0,179.0,41108.0,39999.0,232516.0,226515.0
2011.0,5.0,64.0,202.0,47850.0,46685.0,236192.0,230309.0
2011.0,4.0,49.0,209.0,44164.0,42876.0,214942.0,208868.0
2011.0,3.0,69.0,213.0,45079.0,44020.0,215396.0,210186.0
2011.0,2.0,42.0,202.0,43410.0,42165.0,218857.0,212916.0
2011.0,1.0,34.0,213.0,47367.0,45790.0,220702.0,213517.0
2010.0,12.0,48.0,202.0,45697.0,43598.0,226813.0,216739.0
2010.0,11.0,40.0,208.0,44588.0,43547.0,216780.0,211566.0
2010.0,10.0,39.0,196.0,43713.0,42364.0,227178.0,220790.0
2010.0,9.0,54.0,188.0,43139.0,41508.0,231702.0,222888.0
2010.0,8.0,38.0,211.0,46585.0,44609.0,222440.0,213040.0
2010.0,7.0,47.0,197.0,43530.0,41476.0,220355.0,210083.0
2010.0,6.0,30.0,171.0,35802.0,33964.0,216302.0,206336.0
2010.0,5.0,32.0,195.0,44011.0,40890.0,226935.0,210239.0
2010.0,4.0,16.0,193.0,47854.0,45095.0,247903.0,233149.0
2010.0,3.0,40.0,207.0,46105.0,44546.0,224818.0,216590.0
2010.0,2.0,30.0,198.0,48363.0,45458.0,243247.0,229351.0
2010.0,1.0,16.0,204.0,44006.0,40839.0,216261.0,201835.0
2009.0,12.0,23.0,193.0,42075.0,39956.0,218527.0,208227.0
2009.0,11.0,29.0,199.0,47971.0,45287.0,237775.0,224207.0
2009.0,10.0,36.0,212.0,46319.0,42687.0,224070.0,208089.0
2009.0,9.0,34.0,188.0,48717.0,45843.0,257501.0,243077.0
2009.0,8.0,24.0,186.0,45929.0,43587.0,251748.0,238068.0
2009.0,7.0,26.0,184.0,42763.0,40187.0,238171.0,225588.0
2009.0,6.0,23.0,189.0,48216.0,45217.0,260603.0,245673.0
2009.0,5.0,32.0,206.0,47950.0,44719.0,232872.0,216526.0
2009.0,4.0,23.0,212.0,55120.0,51418.0,259612.0,240940.0
2009.0,3.0,28.0,217.0,53746.0,49581.0,253820.0,233240.0
2009.0,2.0,13.0,200.0,47331.0,45309.0,239965.0,228489.0
2009.0,1.0,6.0,202.0,42317.0,40906.0,215314.0,208784.0
2008.0,12.0,8.0,176.0,45100.0,42628.0,259260.0,246283.0
2008.0,11.0,15.0,177.0,44638.0,42708.0,254171.0,243792.0
2008.0,10.0,29.0,162.0,44441.0,42366.0,278209.0,265292.0
2008.0,9.0,39.0,175.0,46170.0,43658.0,268594.0,255682.0
2008.0,8.0,33.0,206.0,55776.0,52850.0,267908.0,255407.0
2008.0,7.0,34.0,174.0,47093.0,45045.0,277617.0,266854.0
2008.0,6.0,31.0,216.0,57734.0,54430.0,268539.0,253312.0
2008.0,5.0,28.0,181.0,46380.0,44686.0,263392.0,254423.0
2008.0,4.0,36.0,179.0,47282.0,45524.0,266178.0,256595.0
2008.0,3.0,34.0,200.0,51591.0,49371.0,261977.0,251526.0
2008.0,2.0,47.0,190.0,46600.0,44082.0,249676.0,237096.0
2008.0,1.0,34.0,177.0,48921.0,47048.0,278981.0,268042.0
2007.0,12.0,44.0,194.0,48022.0,46580.0,254043.0,246603.0
2007.0,11.0,82.0,190.0,48000.0,46475.0,264553.0,256264.0
2007.0,10.0,117.0,187.0,48264.0,46581.0,263529.0,254920.0
2007.0,9.0,98.0,201.0,48711.0,47484.0,251761.0,245478.0
2007.0,8.0,114.0,189.0,47146.0,45670.0,252811.0,245132.0
2007.0,7.0,120.0,192.0,47501.0,46193.0,253445.0,246758.0
2007.0,6.0,124.0,191.0,46790.0,45509.0,252228.0,245199.0
2007.0,5.0,111.0,190.0,45643.0,44320.0,242601.0,235854.0
2007.0,4.0,95.0,186.0,42739.0,41599.0,236066.0,229962.0
2007.0,3.0,120.0,196.0,45239.0,43667.0,237043.0,228911.0
2007.0,2.0,105.0,201.0,44348.0,42923.0,224985.0,218041.0
2007.0,1.0,66.0,189.0,43460.0,41763.0,233074.0,224691.0
2006.0,12.0,77.0,200.0,44717.0,43185.0,227151.0,219785.0
2006.0,11.0,77.0,200.0,42947.0,41709.0,217251.0,211325.0
2006.0,10.0,57.0,199.0,43970.0,42538.0,222429.0,215243.0
2006.0,9.0,55.0,184.0,41561.0,40202.0,231399.0,223824.0
2006.0,8.0,59.0,181.0,40613.0,39343.0,227266.0,220774.0
2006.0,7.0,34.0,176.0,38671.0,37394.0,226014.0,219653.0
2006.0,6.0,49.0,179.0,40595.0,39395.0,232606.0,226058.0
2006.0,5.0,79.0,182.0,40559.0,39758.0,229706.0,225538.0
2006.0,4.0,83.0,192.0,42286.0,41380.0,226101.0,221455.0
2006.0,3.0,130.0,200.0,42352.0,41511.0,215849.0,211589.0
2006.0,2.0,101.0,184.0,39918.0,39112.0,222736.0,218131.0
2006.0,1.0,73.0,194.0,38506.0,37555.0,202877.0,198019.0
2005.0,12.0,58.0,197.0,39016.0,38204.0,205804.0,201702.0
2005.0,11.0,85.0,197.0,40404.0,39575.0,209998.0,205932.0
2005.0,10.0,74.0,182.0,36268.0,35696.0,203456.0,200393.0
2005.0,9.0,107.0,191.0,37787.0,37071.0,203668.0,199951.0
2005.0,8.0,108.0,182.0,35855.0,35242.0,205829.0,202512.0
2005.0,7.0,99.0,197.0,38161.0,37430.0,196675.0,193188.0
2005.0,6.0,112.0,183.0,34673.0,34017.0,192487.0,189100.0
2005.0,5.0,114.0,186.0,35125.0,34488.0,193008.0,189628.0
2005.0,4.0,99.0,192.0,34614.0,34083.0,184194.0,181607.0
2005.0,3.0,114.0,179.0,30579.0,30174.0,178524.0,176427.0
2005.0,2.0,109.0,184.0,30089.0,29653.0,168386.0,165958.0
2005.0,1.0,60.0,195.0,29218.0,28869.0,153382.0,151764.0
2004.0,12.0,100.0,187.0,27861.0,27638.0,154861.0,153676.0
2004.0,11.0,110.0,194.0,27780.0,27528.0,148325.0,146997.0
2004.0,10.0,159.0,207.0,27937.0,27528.0,140228.0,138426.0
2004.0,9.0,156.0,198.0,26964.0,26617.0,137740.0,136078.0
2004.0,8.0,92.0,179.0,23561.0,23285.0,135961.0,134515.0
2004.0,7.0,81.0,184.0,24138.0,23797.0,134674.0,132818.0
2004.0,6.0,127.0,195.0,24276.0,23860.0,128633.0,126603.0
2004.0,5.0,124.0,191.0,22981.0,22862.0,124389.0,124009.0
2004.0,4.0,86.0,198.0,23811.0,23630.0,124076.0,123287.0
2004.0,3.0,121.0,193.0,23145.0,22749.0,124520.0,122503.0
2004.0,2.0,78.0,196.0,21417.0,20842.0,117317.0,114243.0
2004.0,1.0,64.0,200.0,22996.0,22395.0,119521.0,116433.0
2003.0,12.0,83.0,203.0,22649.0,22186.0,114320.0,112126.0
2003.0,11.0,87.0,192.0,22366.0,22033.0,120950.0,119238.0
2003.0,10.0,129.0,196.0,21626.0,21281.0,115455.0,113673.0
2003.0,9.0,116.0,211.0,23827.0,23469.0,114874.0,113093.0
2003.0,8.0,106.0,202.0,22688.0,22313.0,116623.0,114896.0
2003.0,7.0,132.0,188.0,21052.0,20808.0,115090.0,113877.0
2003.0,6.0,93.0,187.0,21309.0,20934.0,117456.0,115419.0
2003.0,5.0,96.0,194.0,21277.0,20829.0,113931.0,111451.0
2003.0,4.0,97.0,196.0,21157.0,20482.0,113963.0,110516.0
2003.0,3.0,110.0,188.0,20378.0,19841.0,112992.0,110078.0
2003.0,2.0,96.0,187.0,20261.0,19748.0,112647.0,109780.0
2003.0,1.0,64.0,193.0,20006.0,19206.0,108384.0,104052.0
2002.0,12.0,67.0,176.0,18902.0,17951.0,110037.0,104676.0
2002.0,11.0,91.0,194.0,20425.0,19541.0,109309.0,104404.0
2002.0,10.0,86.0,187.0,19680.0,18697.0,111622.0,105957.0
2002.0,9.0,107.0,190.0,20445.0,19177.0,110427.0,103474.0
2002.0,8.0,83.0,192.0,19813.0,18711.0,107699.0,101576.0
2002.0,7.0,79.0,189.0,20306.0,18854.0,111105.0,103257.0
2002.0,6.0,86.0,194.0,20549.0,19106.0,108667.0,100883.0
2002.0,5.0,98.0,191.0,19843.0,18464.0,107259.0,99736.0
2002.0,4.0,83.0,186.0,19310.0,17967.0,107927.0,100341.0
2002.0,3.0,72.0,212.0,21228.0,19830.0,106911.0,99911.0
2002.0,2.0,72.0,189.0,19724.0,18462.0,106966.0,100257.0
2002.0,1.0,63.0,180.0,19286.0,18106.0,109965.0,103014.0
2001.0,12.0,70.0,191.0,19388.0,18079.0,104964.0,97577.0
2001.0,11.0,70.0,202.0,20082.0,18821.0,105246.0,98354.0
2001.0,10.0,73.0,177.0,18289.0,17122.0,105988.0,99152.0
2001.0,9.0,81.0,191.0,19062.0,17784.0,103544.0,96530.0
2001.0,8.0,87.0,191.0,18694.0,17482.0,101136.0,94280.0
2001.0,7.0,75.0,189.0,19128.0,17921.0,104354.0,97604.0
2001.0,6.0,75.0,184.0,18795.0,17630.0,108004.0,101282.0
2001.0,5.0,107.0,184.0,18456.0,17324.0,104481.0,97912.0
2001.0,4.0,75.0,193.0,19424.0,18189.0,103646.0,96962.0
2001.0,3.0,110.0,200.0,20172.0,18933.0,103042.0,96655.0
2001.0,2.0,62.0,188.0,19277.0,18101.0,105830.0,99277.0
2001.0,1.0,55.0,188.0,18922.0,17909.0,104105.0,98159.0
2000.0,12.0,56.0,203.0,19439.0,18345.0,100066.0,94000.0
2000.0,11.0,65.0,178.0,17765.0,16726.0,103440.0,97114.0
2000.0,10.0,94.0,205.0,19389.0,18224.0,97937.0,92024.0
2000.0,9.0,80.0,190.0,18538.0,17525.0,102671.0,96690.0
2000.0,8.0,56.0,183.0,17929.0,16944.0,100761.0,94981.0
2000.0,7.0,64.0,193.0,18325.0,17284.0,98607.0,92554.0
2000.0,6.0,73.0,190.0,17033.0,16108.0,94616.0,89319.0
2000.0,5.0,107.0,192.0,17552.0,16442.0,96119.0,90038.0
2000.0,4.0,71.0,196.0,17751.0,16968.0,93695.0,89389.0
2000.0,3.0,114.0,185.0,16027.0,15630.0,90839.0,88597.0
2000.0,2.0,66.0,197.0,16401.0,16031.0,87476.0,85604.0
2000.0,1.0,58.0,192.0,15933.0,15510.0,86922.0,84558.0
1999.0,12.0,94.0,185.0,15509.0,15330.0,86836.0,85970.0
1999.0,11.0,87.0,186.0,15236.0,15108.0,85289.0,84701.0
1999.0,10.0,85.0,205.0,16022.0,15787.0,82457.0,81527.0
1999.0,9.0,69.0,187.0,15072.0,14984.0,83823.0,83318.0
1999.0,8.0,76.0,189.0,14993.0,14841.0,84638.0,83804.0
1999.0,7.0,102.0,184.0,14599.0,14443.0,81587.0,80688.0
1999.0,6.0,122.0,203.0,15540.0,15398.0,79128.0,78296.0
1999.0,5.0,118.0,189.0,14168.0,14080.0,78319.0,77932.0
1999.0,4.0,133.0,193.0,14382.0,14247.0,78400.0,77638.0
1999.0,3.0,127.0,201.0,14561.0,14427.0,75144.0,74442.0
1999.0,2.0,34.0,194.0,14088.0,13842.0,73702.0,72440.0
1999.0,1.0,43.0,204.0,14283.0,14107.0,73088.0,72228.0
1998.0,12.0,103.0,203.0,13800.0,13461.0,74269.0,72400.0
1998.0,11.0,103.0,200.0,13219.0,12877.0,69191.0,67824.0
1998.0,10.0,105.0,196.0,13310.0,13016.0,71175.0,69665.0
1998.0,9.0,103.0,198.0,13209.0,12878.0,69693.0,68042.0
1998.0,8.0,87.0,191.0,13007.0,12611.0,70891.0,68727.0
1998.0,7.0,111.0,190.0,12650.0,12297.0,68675.0,66796.0
1998.0,6.0,92.0,198.0,12731.0,12380.0,67034.0,65221.0
1998.0,5.0,92.0,191.0,12455.0,12052.0,68867.0,66749.0
1998.0,4.0,112.0,188.0,12144.0,11809.0,67702.0,65800.0
